AccountNumber,Name,LegacyFocalPointUser,LegacyOrgUnit,SuggestedFocalPoint,SuggestedOrgUnit
1026,"EU DG ENEST, Directorate-General for Enlargement and Eastern Neighbourhood",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1029,EU DG ECHO Directorate-General for European Civil Protection and Humanitarian Aid Operations,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1864,BMWE German Federal Ministry for Economic Affairs and Energy,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
,FPI - European Commission,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
,Ministry of Foreign Affairs of Italy,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
,AEF Africa-Europe Foundation,Celia KELLER MARTINEZ,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
,EU DG CLIMA Directorate-General for Climate Action - Prospect,Celia KELLER MARTINEZ,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1247,IFAD International Fund for Agricultural Development,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
1902,AICS Italian Agency for Development Cooperation,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
1904,MAECI Italian Ministry of Foreign Affairs and International Cooperation,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
1905,Italy Ministry of Environment,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
,UN in Rome,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
,Comunità Sant'Egidio,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
,Extra Supports,Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group",Martin Carlos Eduardo AREVALO DE LEON,"DP, PLG, Partnerships and Liaison Group"
,RCO Mali,Michael DEUTSCHMANN,"AFR, WAMCO, Mali",Michael DEUTSCHMANN,"AFR, WAMCO, Mali"
1112,USAID United States Agency for International Development,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1113,USDOS United States Department of State,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1114,MCC Millennium Challenge Corporation,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1115,USDA United States Department of Agriculture,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1116,USAID Bureau of Humanitarian Assistance,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1443,IBRD International Bank of Reconstruction and Development,Christine Leslie BOWERS,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1628,ICSID International Centre for Settlement of Investment Disputes,Christine Leslie BOWERS,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1641,USAID and Affiliated U.S. Agency for International Development and Affiliated,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1646,The World Bank,Christine Leslie BOWERS,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
