PartnerNumber,Name,Status,NewEngagement,Phone,Website,Address1Street,Address1City,Address1StateProvince,Address1PostalCode,Address1Country,ShortName,PooledFund,DDRequired,DDEACDone,EACReference,GlobalKeyAccount,UNSecretariatEntity,LevyPotentiallyApplies,ReasonForLevyNotApplying,LevyTreatment,PartnerCategory,Discriminator,CreatedBy,CreatedDate,LastModifiedBy,IsDeleted,DeletedBy
1836,ADM - PARTNER ACC,Inactive,Allowed,23331,WWW.GOOGLE.COM,"Princes Park, Tilak Marg, Delhi High Court, India Gate, New Delhi, Delhi Division",New Delhi,Delhi,110001,IN,TEST01,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,South Korea,UNOPSPartner,0,NOW(),0,FALSE,0
1837,ADM - PARTNR ACC - PARTNR DONOR CODE,Active,Allowed,122132344,WWW.GOOGLE.COM,,,,,,TEST01,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,Democratic People's Republic of Korea,UNOPSPartner,0,NOW(),0,FALSE,0
1841,Test Prospect account,Inactive,Allowed,,,,,,,,now partner,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,CTBTO Preparatory Commission for the Nuclear-Test-Ban Treaty Organization,UNOPSPartner,0,NOW(),0,FALSE,0
1840,QA Partner Acc,Active,Allowed,,,,,,,,QPA,Yes,No,No,,FALSE,FALSE,Potentially does not apply,,,France,UNOPSPartner,0,NOW(),0,FALSE,0
1838,ADM - PRTNR ACCNT - E2E,Active,Allowed,34434243,w.gool123,"Princes Park, Tilak Marg, Delhi High Court, India Gate, New Delhi, Delhi Division",New Delhi,Delhi,110001,IN,SHORT001,Yes,Yes,Yes,EAC,FALSE,FALSE,Potentially does not apply,,,Sweden,UNOPSPartner,0,NOW(),0,FALSE,0
1839,Testing OUP-4582,Active,Allowed,,,,,,,,4582,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,DC QA,UNOPSPartner,0,NOW(),0,FALSE,0
1842,BRANCH ACCNT TO PRTNR - E2E AUTO C3pTdni,Active,Allowed,,,,,,,,E2E QA jyF,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1843,DC QA Partner Account,Active,Allowed,,,,,,,,DCQA,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,DC QA,UNOPSPartner,0,NOW(),0,FALSE,0
1849,BRANCH ACCNT TO PRTNR - E2E AUTO w9XPNbV,Active,Allowed,,,,,,,,E2E QA Bkh,Yes,No,No,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1851,Branch2Partner Account - Integration Test,Active,Allowed,,,,,,,,B2P,Yes,Yes,Yes,,FALSE,FALSE,Does not apply,,,Chinese Red Cross Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1848,E2E Prospect2Partner - AUTO YXTjdbo,Active,Allowed,,,,,,,,E2E QA Qoz,Yes,No,Yes,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1845,E2E Prospect2Partner - AUTO EThfErH,Active,Allowed,,,,,,,,E2E QA aM3,Yes,No,No,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1844,E2E Partner Account - automated VITvJjt,Active,Allowed,,,,,,,,QA WO7E,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,ARISE Private Sector Alliance for Disaster Resilient Societies (formerly R!SE),UNOPSPartner,0,NOW(),0,FALSE,0
1847,E2E Partner Account - EDITED,Active,Allowed,,,,,,,,QA UqFo,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,ARISE Private Sector Alliance for Disaster Resilient Societies (formerly R!SE),UNOPSPartner,0,NOW(),0,FALSE,0
1846,BRANCH ACCNT TO PRTNR - E2E AUTO IFrc5W5,Active,Allowed,,,,,,,,E2E QA hSr,Yes,No,No,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1850,Integration Test Partner Account,Active,Allowed,,,,,,,,SIT TEST,No,No,No,,FALSE,FALSE,Potentially does not apply,,,Thailand,UNOPSPartner,0,NOW(),0,FALSE,0
1853,E2E Partner Account - automated FpXb18R,Active,Allowed,,,,,,,,QA HuMu,Yes,No,Yes,,FALSE,FALSE,Potentially does not apply,,,ARISE Private Sector Alliance for Disaster Resilient Societies (formerly R!SE),UNOPSPartner,0,NOW(),0,FALSE,0
1852,Prospect2Partner - Integration test,Active,Allowed,,,,,,,,P2P,No,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,University of Oxford,UNOPSPartner,0,NOW(),0,FALSE,0
1854,E2E Partner Account - EDITED,Active,Allowed,,,,,,,,QA nNIb,Yes,Yes,Yes,,FALSE,FALSE,Potentially does not apply,,,ARISE Private Sector Alliance for Disaster Resilient Societies (formerly R!SE),UNOPSPartner,0,NOW(),0,FALSE,0
1856,BRANCH ACCNT TO PRTNR - E2E AUTO BtLl3Kc,Active,Allowed,,,,,,,,E2E QA IHk,Yes,No,Yes,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
1855,E2E Prospect2Partner - AUTO dIgVIMs,Active,Allowed,,,,,,,,E2E QA fwC,Yes,No,No,,FALSE,FALSE,Potentially does not apply,,,UK United Kingdom,UNOPSPartner,0,NOW(),0,FALSE,0
9012,IPSAS Accounting,Active,Allowed,,,,,,,,IPSAS Accounting,No,No,No,,FALSE,FALSE,Does not apply,,,UNOPS United Nations Office for Project Services,UNOPSPartner,0,NOW(),0,FALSE,0
